date,open,high,low,close,volume,symbol
2020-01-02,20.79,21.04,20.68,20.9,896720,FPT
2020-01-03,21.0,21.08,20.47,20.54,2047880,FPT
2020-01-06,20.36,20.54,20.26,20.33,1091660,FPT
2020-01-07,20.43,20.72,20.33,20.72,837240,FPT
2020-01-08,20.5,20.58,20.26,20.26,1814290,FPT
2020-01-09,20.43,20.58,20.36,20.54,967050,FPT
2020-01-10,20.5,20.61,20.36,20.5,1018650,FPT
2020-01-13,20.47,20.54,20.33,20.36,786760,FPT
2020-01-14,20.36,20.47,20.33,20.33,721680,FPT
2020-01-15,20.33,20.36,20.26,20.33,940870,FPT
2020-01-16,20.33,20.76,20.33,20.68,1942970,FPT
2020-01-17,20.68,20.72,20.33,20.54,1388810,FPT
2020-01-20,20.5,20.68,20.4,20.47,1227100,FPT
2020-01-21,20.61,20.68,19.79,19.79,4351820,FPT
2020-01-22,19.61,20.15,19.51,20.15,3165650,FPT
2020-01-30,19.72,19.9,19.22,19.51,2638460,FPT
2020-01-31,19.26,19.58,18.54,18.54,4118150,FPT
2020-02-03,17.69,18.72,17.47,18.36,3602970,FPT
2020-02-04,18.69,18.69,18.19,18.47,1651440,FPT
2020-02-05,18.65,18.83,18.54,18.54,1648620,FPT
2020-02-06,18.72,19.11,18.47,19.11,1708550,FPT
2020-02-07,18.9,19.08,18.83,19.01,1218660,FPT
2020-02-10,18.69,18.9,18.58,18.76,738090,FPT
2020-02-11,18.86,19.15,18.79,19.11,1085380,FPT
2020-02-12,19.19,19.51,19.15,19.29,1104870,FPT
2020-02-13,19.29,19.43,19.15,19.36,1030570,FPT
2020-02-14,19.29,19.43,19.26,19.43,884240,FPT
2020-02-17,19.47,19.47,19.26,19.33,726390,FPT
2020-02-18,19.4,19.97,19.36,19.97,1760940,FPT
2020-02-19,19.93,20.04,19.79,19.86,681250,FPT
2020-02-20,20.01,20.11,19.79,19.9,780810,FPT
2020-02-21,19.93,19.93,19.51,19.51,1458040,FPT
2020-02-24,18.94,19.22,18.72,18.72,2261990,FPT
2020-02-25,18.58,19.26,18.54,19.26,1407720,FPT
2020-02-26,19.04,19.68,18.9,19.61,3221270,FPT
2020-02-27,19.61,20.15,19.47,19.97,2927040,FPT
2020-02-28,19.61,19.86,19.47,19.65,2132200,FPT
2020-03-02,19.65,20.04,19.54,19.86,1787060,FPT
2020-03-03,20.04,20.33,19.86,19.93,1193800,FPT
2020-03-04,19.79,19.79,19.58,19.79,1660790,FPT
2020-03-05,19.79,19.93,19.47,19.47,1296450,FPT
2020-03-06,19.33,19.36,19.08,19.26,1305030,FPT
2020-03-09,18.26,18.54,17.94,17.94,4735140,FPT
2020-03-10,18.19,18.54,17.94,18.44,2030340,FPT
2020-03-11,18.54,18.72,17.65,18.12,2753310,FPT
2020-03-12,17.33,17.58,16.87,17.15,3981670,FPT
2020-03-13,16.15,17.83,16.12,17.17,2919140,FPT
2020-03-16,17.17,17.72,16.94,16.98,1898960,FPT
